рай ръэнут выргыргэтгъи тытԓыӄачайпы ӈэвысӄэт паԓёмтэԓгъэ нэмэ рай выргыргыръугьи яраттатгъэ ӄытԓыги рыногыргэпы	 р а й _ р ъ э н у т _ в ы р г ы р г э т _ гъ _ и _ т ы т ԓ ы ӄ а ч а _  й п ы _ ӈ э в ы с ӄ э т _ п а ԓ ё м _ тэԓ _ гъ _ э _ н э м э _ р а й _ в ы р г ы р г ы _ ръу _  г ь _ и _ я р а _  т т _  а т _  г ъ э _ ӄ ы т ԓ ы г и _ р ы н о _ гырг _  э п ы _ 
ԓевыт ръыԓинин ынӄо нывэтгавӄэн микынэ гымнин ԓевыт гэнчимиръэвԓин иԓпыгитэ	 ԓ е в ы т _ р ъ ы ԓ и _ ни _ н _ ы н ӄ о _ н ы _  в э т г а в _ ӄэн _ м и к ы _ нэ _ г ы м _  н и н _ ԓ е в ы т _ г э _  н _  ч и м и _  р ъ _  э в _ ԓин _ и ԓ п ы _  г и т э _ 
ръыԓинин увик ээ вынэ авъеткынка ӄытватык эрэтгъи рыногыргыткынгыпы	 р ъ ы ԓ и _ ни _ н _ у в и к _ э э _ в ы н э _ а в ъ е _ ткын _ к _ а _ ӄ ы _ тва _  т ы к _ э р э т _ гъ _ и _ р ы н о _  г ы р г ы _  т к ы н _ гыпы _ 
ынраӄ аграткынык иргъи эми авынраԓьын ээ	 ы н р а _ ӄ _ а г р а _  т к ы н ы _ к _ и р _ гъ _ и _ э м _ и _ а в ы н р а _  ԓ ь ы _ н _ э э _ 
уйӈэээ ээ уйӈэээ чьовыргын	 у й ӈ э э _  э _ э э _ у й ӈ э э _  э _ ч ь о _ выргы _ н _ 
рывэнтэннин ӈэвысӄэт гэԓгичеӈыттэтԓин рыпэт гэтэӈуԓвэвԓин ыннэнпэнинэк пынԓёԓьатыӈӈогъэ каԓьайӈын микынэӈ гэнчимэвԓин ээ	 р ы в э н т _ эн _ ни _ н _ ӈ э в ы с ӄ э т _ г э _  ԓ г и _  ч е ӈ ы т т э т _ ԓин _ р ы п э т _ г э _  т э ӈ _  у ԓ в _  э в _ ԓин _ ы н н э н _  п э н и н э _  к _ п ы н ԓ ё ԓ ь _ аты _  ӈ ӈ о _ гъ _ э _ к а ԓ ь а _  й ӈ ы _ н _ м и к ы _ нэ _  ӈ _ г э _  н _  ч и м э в _ ԓин _ э э _ 
вынэ ӄымӈыԓтэԓыркын ӈэвысӄэт	 в ы н э _ ӄ ы м ӈ ы ԓ _  т э ԓ ы _  р к ы н _ ӈ э в ы с ӄ э т _ 
моогъэ вэтгавык гымык ывэӄучитэ ынӈин рыннин миӈкыри ӄун ԓыгиӄэгъюргын	 м о о _ гъ _ э _ в э т г а в ы _  к _ г ы м ы _ к _ ы в э ӄ у _ чит _ э _ ы н ӈ и н _ р ы н _ нин _ м и ӈ _ кы _ ри _ ӄ у н _ ԓ ы г и ӄ э _  г ъ ю р г ы _  н _ 
гымнин ывэӄуч чама ԓыгъэткиӈ ԓыгэн	 г ы м _  н и н _ ы в э ӄ у ч _ ч а м а _ ԓ ы г _  ъ э т _  к и ӈ _ ԓ ы г э н _ 
ӄун эӄэгкутъюунин каԓьайӈын	 ӄ у н _ э _  ӄ э г к у _  т ъ ю у _  н и _ н _ к а ԓ ь а _ йӈы _ н _ 
иквъи мурык рэтэӈычьэтгъэ ынӄэн	 и к _ въ _ и _ м у р ы _ к _ р э т э ӈ ы _  ч ь _  э т _  г ъ _  э _ ы н ӄ э н _ 
ӄырымэн кэԓы въиԓьын пэнинэԓьын	 ӄ ы р ы м _  э н _ к э ԓ ы _ в ъ и ԓ ь ы _ н _ п э н и н э _  ԓ ь ы _ н _ 
ынӄо рынтоӈаннэн эргатык	 ы н ӄ о _ р ы н т о _  ӈ а н _ нэ _  н _ э р г _  а т ы к _ 
эвын эргыръоӈӈок ӄԓявыԓ рагтыгъэ амын	 э в ы н _ э р г ы _ ръо _ ӈӈо _  к _ ӄ ԓ я в ы ԓ _ р а _ гты _  г ъ э _ а м _ ын _ 
эвын уйӈэ ярак ӈэвысӄэт	 э в ы н _ у й ӈ э _ я р а _ к _ ӈ э в ы с ӄ э т _ 
ӄырирнин танԓымынӄоԓьук	 ӄ ы р и р _ ни _ н _ т а н ԓ ы м _ ынӄо _  ԓ ь у _  к _ 
ԓывавнэн ынӄо маёԓгыткынэты ӄытгъи 	 ԓ ы в а в _ нэн _ ы н ӄ о _ м а ё _ ԓгы _  т к ы н _  э т ы _ ӄ ы т _ гъ _ и _ _ 
эвын ӈэнку нарычгытваӄэн гитэнин эвын гэвъиԓин ԓюӈпиритэ ымыӈ рыннин	 э в ы н _ ӈ э н _ ку _ н _  а р ы ч г ы _ тва _ ӄэн _ г и _  т э _  н и _ н _ э в ы н _ г э _  в ъ и _ ԓин _ ԓ ю ӈ _  п и р и _ тэ _ ы м ы _  ӈ _ р ы н _ нин _ 
ԓыгэн рагтыгъэ кытгынта рырэйвэвнин яраӈы	 ԓ ы г э н _ р а _ гты _  г ъ э _ к ы т г ы н т а _ р ы _  р э й в _  э в _ ни _ н _ я р а _  ӈ ы _ 
ԓыгэӄыԓпэ ынкъам яԓгытгъэ нымгутыԓеӄин гэԓгуврэмгутыԓеԓин рэвиквъи	 ԓ ы г _  э ӄ ы ԓ п э _ ы н к ъ а м _ я ԓ г ы т _  г ъ э _ н ы м г у т ы ԓ е _  ӄ и н _ г э _  ԓ г у в р э м г у _  т ы ԓ е _ ԓин _ р э в и к _  в ъ _ и _ 
вытку воԓӄытвэма тараӈгъэ	 в ы т к у _ в о ԓ ӄ ы _ твэ _  м а _ т а р а _ ӈ _  г ъ э _ 
ԓыгэӄыԓпэ ԓыгэн	 ԓ ы г _  э ӄ ы ԓ п э _ ԓ ы г э н _ 
апԓёратвака рай	 а п ԓ ё р а _ тва _ к _ а _ р а й _ 
ӄоԓейӈын	 ӄ о ԓ е _  й ӈ ы _ н _ 
мооръэтыӈӄачайпы	 м о о _  р ъ _  э т ы _  ӈ ӄ а ч а _  й п ы _ 
вэгрэтээм эмитԓёнайгоот коԓё наӄам	 в э г р э т _  э э м _ э _  м и т ԓ ё н а _  й г о о _  т _ к о ԓ ё _ н а ӄ а м _ 
отконаӈайӈыт нынрыӄинэт пыкэрычгатгъат кынмаԓ ԓыгэн ынкы нанмын вэгрэтэм ынаным иам ныпичгыӄин с энмэн ӄоԓ	 о т к о _  н а _  ӈ а й ӈ ы _  т _ н ы _  н р ы _ ӄинэ _ т _ п ы к э р ы ч г _ ат _  г ъ а _ т _ к ы н м _ аԓ _ ԓ ы г э н _ ы н _ кы _ н а _  н м ы _  н _ в э г р э т _  э м _ ы н а н ы м _ и а м _ н ы _  п и ч г ы _ ӄин _ с _ э н м э н _ ӄ о ԓ _ 
имъэԓиԓьин ӄԓявыԓ амыным нивӄин нивӄинэт энмэн	 и м ъ э ԓ и _  ԓ ь _  и н _ ӄ ԓ я в ы ԓ _ а м _ ыным _ н _ ив _ ӄин _ н _ ив _  ӄ и н э _ т _ э н м э н _ 
ынӄэн имъэԓиԓьырык гатваԓен тэԓенъеп	 ы н ӄ э н _ и м ъ э ԓ и _  ԓ ь ы _  р ы _ к _ г а _  т в а _ ԓен _ т э ԓ е н ъ _ еп _ 
энмэн ӄоԓ имъэԓиԓьин ӄԓявыԓ	 э н м э н _ ӄ о ԓ _ и м ъ э ԓ и _  ԓ ь _  и н _ ӄ ԓ я в ы ԓ _ 
амыным нивӄин выквыԓгын ӈутку ниниԓгэтӄин ӈиԓгэ ынкъам	 а м _ ыным _ н _ ив _ ӄин _ в ы к в ы _  ԓ г ы _ н _ ӈ у т к у _ н _  и н _  и ԓ г _  э т _ ӄин _ ӈ и ԓ г _ э _ ы н к ъ а м _ 
ныриӈэӄин ыяа гыргоԓягты риӈэгъи ӄоԓетъыԓё коԓё ёо гэпкитԓин айгынԓейпы наӄам ынкэкин ымыԓьо гивиниԓинэт 	 ны _  р и ӈ э _  ӄ и н _ ы я а _ г ы р г о ԓ я _ гты _ р и ӈ э _  г ъ _ и _ ӄ о ԓ е _ тъыԓё _ к о ԓ ё _ ё о _ г э _  п к и т _ ԓин _ а й _  г ы н ԓ е _ йпы _ н а ӄ а м _ ы н _  к э _ кин _ ы м ы ԓ ь о _ г _ ив _  и н и _  ԓ и н э _ т _ _ 
гэнԓьэтэтԓинэт гэԓыткынык	 г э _  н _  ԓ ь э т _ эт _  ԓ и н э _ т _ г э _  ԓ ы т к ы н ы _ к _ 
ымыԓьо имъэԓиԓьыт ӄԓявыԓтэ ынӄо	 ы м ы ԓ ь о _ и м ъ э ԓ и _  ԓ ь ы _ т _ ӄ ԓ я в ы ԓ _  т э _ ы н ӄ о _ 
ӈырача кивкы ӄԓявыԓен нэнэны гивԓин эптэ	 ӈ ы р а _ ча _ к и в _ кы _ ӄ ԓ я в ы _  ԓ е н _ н э н э _ ны _ г _  и в _ ԓин _ э п т э _ 
гым ытԓыгмиԓ мыриӈэгъэк ытԓьата нинивӄин ынӄо гэвэнэчаԓен имъэԓиԓьын ӈинӄэй ынӄэн тъэче киквъи ёатык	 г ы м _ ы т ԓ ы г _  м и ԓ _ м ы _  р и ӈ э _  г ъ э _  к _ ы т ԓ ь а _ та _ н _  и н _ ив _ ӄин _ ы н ӄ о _ г э _  в э н э ч а _  ԓ е н _ и м ъ э ԓ и _  ԓ ь ы _ н _ ӈ и н _ ӄэй _ ы н ӄ э н _ т ъ э ч _ е _ к и к _ въ _ и _ ё а _  т ы к _ 
ярак ынӄоры ынӄэн ӈинӄэй	 я р а _ к _ ы н ӄ о р ы _ ы н ӄ э н _ ӈ и н _ ӄэй _ 
иквъи амын амморгынан мытынъэԓмык мэӈӄо мури	 и к _ въ _ и _ а м _  ы н _ а м _  м о р г ы _ нан _ м ы т ы _  н ъ э ԓ _ мык _ м э ӈ _  ӄ о _ м у р и _ 
мытраӄамэтва ԓымӈэ иквъи ытԓьата ивнин ӈинӄэй	 м ы т _  р а _  ӄ а м э т в а _ ԓ ы м _  ӈ э _ и к _ въ _ и _ ы т ԓ ь а _ та _ ив _ ни _ н _ ӈ и н _ ӄэй _ 
гивԓин ытԓьата ивнин эккэтэ ивнин	 г _  и в _ ԓин _ ы т ԓ ь а _ та _ ив _ ни _ н _ э к к э _ тэ _ ив _ ни _ н _ 
кита имъэԓиԓьын мыёпатынат аӈӄата рыԓьататъёттэ ытԓьата ивнин	 к и т а _ и м ъ э ԓ и _  ԓ ь ы _ н _ м ы ё _  п а т ы _  н а _ т _ а ӈ ӄ а _  т а _ р ы _  ԓ ь а _  т а т _  ъ ё т _ тэ _ ы т ԓ ь а _ та _ и в _ ни _ н _ 
ӈинӄэе ивнин наӄам ёо коԓё ӄынвэр ытԓьата ивнин ӈинӄэй	 ӈ и н _  ӄ э е _ и в _ ни _ н _ н а ӄ а м _ ё о _ к о ԓ ё _ ӄ ы н в э р _ ы т ԓ ь а _  т а _ и в _ ни _ н _ ӈ и н _ ӄэй _ 
иквъи эвыр трэԓьуӈын эӄыԓпэ трэетгъэ ымыԓьо	 и к _ въ _ и _ э в ы р _ т _  р э _ ԓьу _  ӈ ы _ н _ э ӄ ы ԓ п э _ т _ рэ _  е т _ гъэ _ ы м ы ԓ ь о _ 
имъэԓиԓьыт гумэкэтԓинэт нивӄинэт эквэтгъи коԓё ёо авынтыԓягты	 и м ъ э ԓ и _  ԓ ь ы _ т _ г _  у м э к _ эт _ ԓинэ _ т _ н _  и в _ ӄинэ _ т _ э к в э т _  г ъ _ и _ к о ԓ ё _ ё о _ а в ы н т ы ԓ я _ гты _ 
ӄытгъи ӄоԓ	 ӄ ы т _ гъ _ и _ ӄ о ԓ _ 
ԓьунин ӄԓявыԓ нэмыӄэй	 ԓ ь у _ ни _ н _ ӄ ԓ я в ы ԓ _ н э м ы ӄ э й _ 
риӈэԓьын ивнин ԓюур иквъи гытым нырэӄигыт имъэԓиԓьэ	 р и ӈ э _  ԓ ь ы _ н _ и в _ ни _ н _ ԓ ю у р _ и к _ въ _ и _ г ы т ы м _ н ы _  р э ӄ _ игыт _ и м ъ э ԓ и _  ԓ ь _  э _ 
ивнин уӈииԓьэ ивнин	 и в _ ни _ н _ у ӈ и и _  ԓ ь _  э _ и в _ ни _ н _ 
имъэԓиԓьэ ивнин уӈииԓьэ	 и м ъ э ԓ и _  ԓ ь _  э _ и в _ ни _ н _ у ӈ и и _  ԓ ь _  э _ 
ивнин ынӄоры ынӈин	 и в _ ни _ н _ ы н ӄ о р ы _ ы н ӈ и н _ 
вэтгавма ԓюур уӈииԓьэ кыпԓынэн аԓыгатгата имъэԓиԓьын	 в э т г а в _  м а _ ԓ ю у р _ у ӈ и и _  ԓ ь _  э _ к ы п ԓ ы _ нэн _ а ԓ ы г _  а т г _  а т а _ и м ъ э ԓ и _  ԓ ь ы _ н _ 
ԓевыт гэчвиԓин имъэԓиԓьын эрэтгьи гэԓыткынык иргъи уйӈэ эриӈэкэ нъэԓгъи	 ԓ е в ы т _ г э _  ч в и _  ԓ и н _ и м ъ э ԓ и _  ԓ ь ы _  н _ э р э т _  г ь _  и _ г э _  ԓ ы т к ы н ы _ к _ и р _ гъ _ и _ у й ӈ э _ э _  р и ӈ э _  к _ э _ н _  ъ э ԓ _ гъ _ и _ 
ынӄоры уӈииԓьэ аԓыгаттэ тиӈунин эйминнин ынӄо нымэԓьэв	 ы н ӄ о р ы _ у ӈ и и _  ԓ ь _  э _ а ԓ ы г _ ат _  т э _ т _  и ӈ у _ ни _ н _ э й м и н _ ни _ н _ ы н ӄ о _ н ы _  м э ԓ ь э в _ 
нъыркыпԓынэн	 н _  ъ ы р к ы п ԓ ы _  н э н _ 
имъэԓиԓьын риӈэгъи выква иннин уӈииԓьын 	 и м ъ э ԓ и _  ԓ ь ы _  н _ р и ӈ э _  г ъ _ и _ в ы к в а _ и н _  н и _ н _ у ӈ и и _ ԓьы _ н _ _ 
рымутԓытъэвнин	 р ы м у т ԓ ы т ъ э в _  н и _ н _ 
уӈииԓьын	 у ӈ и и _ ԓьы _  н _ 
эрэтгъи гэԓыткынык итгъи мъэԓиԓьэ выквыԓгын тиӈунин	 э р э т _ гъ _ и _ г э _  ԓ ы т к ы н ы _ к _ и т _ гъ _ и _ м ъ э ԓ и _  ԓ ь _  э _ в ы к в ы _ ԓгы _ н _ т _  и ӈ у _ ни _ н _ 
иӈӄун нъынчимэвнин ԓевыт	 и ӈ ӄ у н _ н _  ъ ы н ч и м э в _  н и _ н _ ԓ е в ы т _ 
иӈӄун нъывъигъэн	 и ӈ ӄ у н _ н _  ъ ы в ъ и _  г ъ э _ н _ 
эчги тиӈунин имъэԓиԓьэ аԓыгаттэ	 э ч г и _ т _  и ӈ у _ ни _ н _ и м ъ э ԓ и _  ԓ ь _  э _ а ԓ ы г _ ат _  т э _ 
ԓюур рыркайӈын пиврэгъи эчги	 ԓ ю у р _ р ы р к а _  й ӈ ы _ н _ п и в р э _  г ъ _ и _ э ч г и _ 
ынӈот рыннин эчги тымыркынэнрыркайӈа	 ы н ӈ о _ т _ р ы н _ нин _ э ч г и _ т ы _  м ы р к ы н _  э н _  р ы р к а й _  ӈ а _ 
ранӈавнэн уӈииԓьын уйӈэ ръэнут	 р а _  н ӈ а в _ нэн _ у ӈ и и _ ԓьы _ н _ у й ӈ э _ р ъ э н у т _ 
гэԓьуԓин ганӈатԓен ынӄоры имъэԓиԓьын рагтыгъэ пыкирык	 г э _  ԓ ь у _ ԓин _ г а _  н ӈ а т _  ԓ е н _ ы н ӄ о р ы _ и м ъ э ԓ и _  ԓ ь ы _ н _ р а _ гты _  г ъ э _ п ы к и р ы _ к _ 
эвын гэмутԓыԓин никвъэн тумгэ ынӄэйына	 э в ы н _ г э _  м у т ԓ ы _  ԓ и н _ н _  и к _ въэ _ н _ т у м г _  э _ ы н ӄ э й _ ына _ 
гэнъаԓыгатгапԓен чит энмэн уӈииԓьыт гэнԓьэтэтъюуԓинэт	 г э _  н ъ а ԓ ы г _  а т _  г а п _  ԓ е н _ ч и т _ э н м э н _ у ӈ и и _ ԓьы _  т _ г э _ н _  ԓ ь э т _  э т ъ ю у _  ԓ и н э _ т _ 
нэмыӄэй энарэрыԓьа гинэԓьуԓин	 н э м ы ӄ э й _ э н а р э р ы _ ԓь _  а _ г _  и н э _  ԓ ь у _ ԓин _ 
гэнъаԓыгатгапԓен паагъэ риӈэк эԓеръугъи панэна эмэԓевкыԓьин	 г э _  н ъ а ԓ ы г _  а т _  г а п _  ԓ е н _ п а а _  г ъ _ э _ р и ӈ э _  к _ э ԓ е _  р ъ у _ гъ _ и _ п а н э н _ а _ э м _  э ԓ е в _  к ы _ ԓь _  и н _ 
ԓевыт иквъи эптэ гым мычавчывантагъак	 ԓ е в ы т _ и к _ въ _ и _ э п т э _ гым _ м ы ч _  а в ч ы в а н т а _  г ъ а _  к _ 
ԓьораӄоймагты имъэԓиԓьыт ӄытгъэт пыкиргъэт ԓьораӄоймак эвын	 ԓ ь о _  р а ӄ _  о й м а _  г т ы _ и м ъ э ԓ и _  ԓ ь ы _  т _ ӄ ы т _  г ъ э _ т _ п ы к и р _ гъэ _ т _ ԓ ь о _  р а ӄ _  о й м а _  к _ э в ы н _ 
уӈииԓьыт ынкы нэмыӄэй	 у ӈ и и _ ԓьы _ т _ ы н _ кы _ н э м ы ӄ э й _ 
атынвыԓьын ынкы ӄытԓыги ынин	 а т ы н в ы _  ԓ ь ы _  н _ ы н _ кы _ ӄ ы т ԓ ы г и _ ы н _  и н _ 
атынватъё ымыӈ гачавчывантаԓен	 а т ы н в а т ъ ё _ ы м ы _  ӈ _ г а ч а в ч ы в а н т а _  ԓ е н _ 
ӈирэче кивкы ӄытгъи	 ӈ и р э _  ч е _ к и в _ кы _ ӄ ы т _ гъ _ и _ 
уӈииԓьын ивнин имъэԓиԓьэ ивнин	 у ӈ и и _ ԓьы _  н _ и в _ ни _ н _ и м ъ э ԓ и _  ԓ ь _  э _ и в _ ни _ н _ 
гым эквырга тымэйӈэтык ынӈин ваԓьэгым уӈииԓьэ нинивӄин	 г ы м _ э к _ вырга _ т ы _  м э й ӈ _  э т ы к _ ы н ӈ и н _ в а _  ԓ ь _ эгым _ у ӈ и и _  ԓ ь _ э _ н _  и н _ ив _ ӄин _ 
ӄэйвэ мэԓгыт тыԓьугыт	 ӄ э й в э _ м _  э ԓ г ы т _ т ы _  ԓ ь у _  г ы т _ 
ԓьэԓеӈкы риӈэк имъэԓиԓьэ	 ԓ ь э ԓ е ӈ _ кы _ р и ӈ э _  к _ и м ъ э ԓ и _  ԓ ь _  э _ 
нинивӄин эты эԓвэԓьин	 н _  и н _ ив _ ӄин _ э т ы _ э ԓ в э _ ԓь _ ин _ 
уӈииԓьэ тумгыт нинивӄинэт	 у ӈ и и _  ԓ ь _  э _ т у м г ы _ т _ н _  и н _ ив _ ӄинэ _ т _ 
тумгэ нивӄин ӄэгԓынангэт	 т у м г _  э _ н _  и в _ ӄин _ ӄ э г ԓ ы _ нан _ гэт _ 
ԓёӈынма рагтыгъат имъэԓиԓьыт пыкиргъэт румэкэвнин	 ԓ ё ӈ ы _  н _ ма _ р а _ гты _ гъа _ т _ и м ъ э ԓ и _  ԓ ь ы _ т _ п ы к и р _ гъэ _ т _ р у м э к _ эв _ ни _  н _ 
имъэԓиԓьыт ымыԓьо ивнинэт ӄоԓ имъэԓиԓьын иквъи экык иквъи ытԓьата	 и м ъ э ԓ и _  ԓ ь ы _ т _ ы м ы ԓ ь о _ и в _ ни _  н э _ т _ ӄ о ԓ _ и м ъ э ԓ и _  ԓ ь ы _ н _ и к _ въ _ и _ э к ы к _ и к _ въ _ и _ ы т ԓ ь а _ та _ 
ивнин вэчьым гыт ымыӈ рэӄысӄычевыӈ ӄырым ӄыетги	 и в _ ни _ н _ в э ч _ ьым _ г ы т _ ы м ы _  ӈ _ р э ӄ ы _  с ӄ ы ч е в ы _  ӈ _ ӄ ы р ы м _ ӄ ы _  е т _ г _ и _ 
ӄынвэр ынӄэн эккэӄэй никвъэн имъэԓиԓьэ нэмэ экык риӈэгъи нэмэ выквыԓгын	 ӄ ы н в э р _ ы н ӄ э н _ э к к э _  ӄ э й _ н _  и к _ въэ _ н _ и м ъ э ԓ и _  ԓ ь _  э _ н э м э _ э к ы к _ р и ӈ э _ гъ _ и _ н э м э _ в ы к в ы _ ԓгы _ н _ 
пэнин патгыргыԓгын ԓьунин гыргоԓ ԓыгэн ынкэгйит гатааԓен	 п э н и н _ п а т г ы р г ы _  ԓ г ы _ н _ ԓ ь у _ ни _ н _ г ы р г о ԓ _ ԓ ы г э н _ ы н к э г _ йит _ г а _  т а а _  ԓ е н _ 
пинтыӄэтгъи гыргоԓ эвын	 п и н т ы ӄ э т _ гъ _ и _ г ы р г о ԓ _ э в ы н _ 
ынкы ԓьунин ӈагчыӈын никвыӄин	 ы н _ кы _ ԓ ь у _ ни _ н _ ӈ а г ч ы _ ӈы _ н _ н _  и к _  в ы _ ӄин _ 
ынкэгйит ныԓеӄин иквъи миӈкэтэ гыргоча мытаан юур никвъэн	 ы н к э г _ йит _ н ы _  ԓ е _ ӄин _ и к _ въ _ и _ м и ӈ _  к э _ тэ _ г ы р г о ч а _ м ы т _  а а н _ ю у р _ н _  и к _ въэ _ н _ 
ыныкит ынкы рэймэвнин	 ы н ы _ кит _ ы н _ кы _ р _  э й м э в _ ни _ н _ 
эвын ытԓыгын ынин ынкы варкын кымъыйӈа	 э в ы н _ ы т ԓ ы г ы _ н _ ы н _ ин _ ы н _ кы _ в а _  р к ы н _ к ы м ъ ы й ӈ а _ 
гэпириԓин мынга гытката эккэтэ ԓьунин ытԓыгын	 г э _  п и р и _ ԓин _ м ы н _  г а _ г ы т к а _  т а _ э к к э _ тэ _ ԓ ь у _ ни _ н _ ы т ԓ ы г ы _ н _ 
гаԓягъэ ивнин ивнин эккэтэ ивнин тыԓӄыриргыт ытԓыгэ ивнин ӈотӄэн	 г а ԓ я _  г ъ э _ и в _ ни _ н _ и в _ ни _ н _ э к к э _  т э _ и в _ ни _ н _ т ы _  ԓ ӄ ы р и р г ы _  т _ ы т ԓ ы г _ э _ и в _ ни _ н _ ӈ о т _ ӄэн _ 
кымъыԓгын нымэйыӈӄин коԓё гыткат	 к ы м ъ ы _  ԓ г ы _ н _ н ы _  м э й ы ӈ _  ӄ и н _ к о ԓ ё _ г ы т к а _ т _ 
нымкыӄинэт нивԓыӄинэт	 ны _  м к ы _  ӄ и н э _ т _ н _  и в ԓ ы _ ӄинэ _ т _ 
вайым гым ымыԓьо вагыԓгын гинэпԓин чамъам трэриӈэгъэ ӄонпыӈ гым ӈутку тынъэԓык эккэтэ ивнин тиӈунин	 в а _ йым _ г ы м _ ы м ы ԓ ь о _ в а г ы _ ԓгы _ н _ г _  и н э _  п ԓ и н _ ч а м ъ а м _ т _  р э _  р и ӈ э _  г ъ _  э _ ӄ о н п ы _  ӈ _ г ы м _ ӈ у т к у _ т ы _  н ъ э ԓ ы _  к _ э к к э _ тэ _ и в _ ни _ н _ т _  и ӈ у _ ни _ н _ 
выквыԓгын выквыԓгын ринтынин	 в ы к в ы _ ԓгы _ н _ в ы к в ы _ ԓгы _ н _ р и н т ы _ нин _ 
 кымъыԓгын кымъукэтгъи ытԓыгын пынԓёнэн	 _ к ы м ъ ы _  ԓ г ы _ н _ к ы м ъ у к э т _  г ъ _ и _ ы т ԓ ы г ы _ н _ п ы н ԓ ё _  н э н _ 
ивнин ытԓыгэ	 и в _ ни _ н _ ы т ԓ ы г _ э _ 
нэмэ	 н э м э _ 
тиӈунин нэмэ ринтынин нэмэ	 т _  и ӈ у _ ни _ н _ н э м э _ р и н т ы _  н и н _ н э м э _ 
кымъукэтгъи гынмыԓкинэк майыӈкы	 к ы м ъ у к э т _  г ъ _ и _ г ы н м ы ԓ _  к и н э _ к _ м а й ы ӈ _ кы _ 
ытԓыгын пынԓёнэн нэмэ	 ы т ԓ ы г ы _ н _ п ы н ԓ ё _  н э н _ н э м э _ 
тиӈунин ӈыроӄавкы ринтынин кымъыԓгын	 т _  и ӈ у _ ни _ н _ ӈ ы р о ӄ а в _  к ы _ р и н т ы _ нин _ к ы м ъ ы _  ԓ г ы _ н _ 
ымыԓьэты	 ы м ы ԓ ь _ эты _ 
ӄынур тымнэн гыткат	 ӄ ы н у р _ т ы м _ нэн _ г ы т к а _ т _ 
янра ымыӈ ынин	 я н р а _ ы м ы _  ӈ _ ы н _  и н _ 
ытԓыгын тымнэн	 ы т ԓ ы г ы _ н _ т ы м _ нэн _ 
ынӄо груԓмыгъи	 ы н ӄ о _ г _  р у _ ԓмы _  г ъ _  и _ 
ытԓыгин инничгын ԓьунин	 ы т ԓ ы г и н _ и н н _ ичгы _ н _ ԓ ь у _ ни _ н _ 
ынӄэн эйминнин иквъи	 ы н ӄ э н _ э й м и н _ ни _ н _ и к _ въ _ и _ 
вэԓерым ытԓыгын тыԓьугъэн ӈотӄэн	 в э ԓ е _  р ы м _ ы т ԓ ы г ы _ н _ т ы _  ԓ ь у _  г ъ э _ н _ ӈ о т _ ӄэн _ 
эмэԓкэ ытԓыгын тынрагтатын ӈэвъэнэ рэԓьугнин ӄэгԓынангэт агтыгъэ пыкирык ивнин ԓюур ынӄэн ытԓьата	 э м _  э ԓ _ к _ э _ ы т ԓ ы г ы _  н _ т ы _  н _  р а _ гт _ аты _ н _ ӈ э в ъ э н _ э _ р э ԓ ь _ уг _ ни _ н _ ӄ э г ԓ ы _ нан _ гэт _ а _ гты _  г ъ _  э _ п ы к и р _  ы к _ и в _ ни _ н _ ԓ ю у р _ ы н ӄ э н _ ы т ԓ ь а _ та _ 
ивнин мэӈӄо ԓьугьэн эккэтэ	 и в _ ни _ н _ м э ӈ _ ӄо _ ԓ ь у _  г ь э _ н _ э к к э _ тэ _ 
ивнин наӄам ымыԓьо гыткаԓгыт нымкыӄин эвын аӄаятыӈ гымнин ытԓыгын кымъэ гэпириԓин ытԓьата ивнин эккэтэ ивнин	 и в _ ни _ н _ н а ӄ а м _ ы м ы ԓ ь о _ г ы т к а _  ԓ г ы т _ н ы _  м к ы _ ӄин _ э в ы н _ а _  ӄ а я т ы _  ӈ _ г ы м _  н и н _ ы т ԓ ы г ы _ н _ к ы м ъ _ э _ г э _  п и р и _ ԓин _ ы т ԓ ь а _ та _ ив _ ни _ н _ э к к э _ тэ _ ив _ ни _ н _ 
эмимъэԓик тынъэԓык ӄырым ԓым ыяагты мыԓӄытык	 э _  м и м ъ э ԓ и _  к _ т ы _  н ъ э ԓ ы _ к _ ӄ ы р ы м _ ԓ ы м _ ы я а г т ы _ м ы _  ԓ ӄ ы _ тык _ 
вэԓерым ытԓыгын тыԓьугъэн ӄонпыӈ	 в э ԓ е _  р ы м _ ы т ԓ ы г ы _ н _ т ы _  ԓ ь у _  г ъ э _ н _ ӄ о н п ы _  ӈ _ 
игыр тыпаак ытръэч эвэнэԓьэты игыр трэвинрээркын игыр ӄонпыӈ	 и г ы р _ т ы _  п а а _  к _ ы т р ъ э ч _ э в э н э _  ԓ ь _  э т ы _ и г ы р _ т _  р э _  в и н р э э _  р к ы н _ и г ы р _ ӄ о н п ы _ ӈ _ 
ыяагты риӈэк тыпаак с	 ы я а г т ы _ р и ӈ э _  к _ т ы _  п а а _  к _ с _ 
амыным аны ныԓгэӈъоӄэн ымы ваԓы чаат	 а м _ ыным _ а н ы _ н ы _  ԓ г э _  ӈ ъ о _  ӄ э н _ ы м ы _ в а ԓ ы _ ч а а т _ 
кукэт пойгыт уйӈэ наӄам	 к у к э т _ п о _  й г ы т _ у й ӈ э _ н а ӄ а м _ 
ӈэԓвыԓ нымкыӄин	 ӈ э ԓ в ы ԓ _ н ы _  м к ы _ ӄин _ 
